1946, 41
1947, 23
1948, 16
1949, 28
1950, 20
1951, 11
1952, 19
1953, 14
1954, 39
1955, 32
1956,
1957, 14
1958,
1959, 16
1960, 6
1961,25
1962,24
1963,18
1964,17
1965,38
1966,31
1967,27
1968,26
1969,17
1970,21
1971,20
1972,17
1973,23
1974,16
1975,13
1976,13
1977,21
1978,11
1979,13
1980,11
1981,8
1982,8
1983,14
1984,9
1985,7
1986,5
1987,5
1988,54
1989,34
1990,18
1991,20
1992,27
1993,30
1994,22
1995,25
1996,19
1997,26
