日期,时段,DAU-全部-qdxvivo,新增激活-全部-qdxvivo,累计DAU-全部-qdxvivo,累计新增激活-全部-qdxvivo
2018-01-17,00,5763,131,5763,131
2018-01-17,01,3279,56,9042,187
